icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorplain,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
899022,B-18905,AIRBUS,A350-941,A359,73,L2J,China Airlines,DYNASTY,CAL,,,,,,,,
846444,JA12XJ,AIRBUS,A350-941,A359,536,L2J,Japan Airlines,JAPANAIR,JAL,,,,,,,,
76cdb9,9V-SMY,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,2019-09-13,,,,,,RR Trent XWB-84
885103,HS-THC,AIRBUS,A350-941,A359,50,L2J,Thai Airways,THAI,THA,,,,,,,,
76cda4,9V-SMD,AIRBUS,A350-941,A359,37,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
04014e,ET-AVE,AIRBUS,A350-941,A359,,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,,,,,,,,
06a11e,A7-ANB,AIRBUS,A350-1041,A35K,102,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
06a0fe,A7-ALJ,AIRBUS,A350-941,A359,25,L2J,Qatar Airways,QATARI,QTR,F-WZFT,2016-08-01,,,2016-01-01,,,
88812d,VN-A892,AIRBUS,A350-941,A359,86,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
4bb0e6,TC-LGF,AIRBUS,A350-941,A359,,L2J,Turkish Airlines,TURKISH,THY,,,,,,,,
407af4,G-XWBK,AIRBUS,A350-1041,A35K,,L2J,British Airways,SPEEDBIRD,BAW,,,,,,,,
888167,VN-A898,AIRBUS,A350-941,A359,,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
346419,EC-NIS,AIRBUS,A350-941,A359,406,L2J,Iberia Airlines,IBERIA,IBE,,,,,,2016-03-20,,RR Trent XWB
7816b0,B-308G,AIRBUS,A350-941,A359,,L2J,Hainan Airlines,HAINAN,CHH,,,,,,,,
06a0f7,A7-ALC,AIRBUS,A350-941,A359,9,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
3465c5,EC-NOI,AIRBUS,A350-941,A359,448,L2J,World2fly,,WFL,,,,,2021-02-01,2021-04-23,,RR Trent XWB
06a12d,A7-ANQ,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
789234,B-LQB,AIRBUS,A350-941,A359,337,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,RR Trent XWB
461f4e,OH-LWG,AIRBUS,A350-941,A359,51,L2J,Finnair,FINNAIR,FIN,,,,,,,,
76cd0f,9V-SHO,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
76cd15,9V-SHU,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,JET
8411a4,JA04XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
88800000000,VN-A889,AIRBUS,A350-941,A359,17,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
06a126,A7-ANJ,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
8460b0,JA11XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
06a129,A7-ANM,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
407698,G-VJAM,AIRBUS,A350-1041,A35K,,L2J,Virgin Atlantic Airways,VIRGIN,VIR,,2019-09-27,,,,,,
a66935,N512DN,AIRBUS,A350-941,A359,267,L2J,Delta Air Lines,DELTA,DAL,,2019-01-25,2029-01-31,,2019-01-01,,,ROLLS-ROYC TRENT XWB-84
346390,EC-NGY,AIRBUS,A350-941,A359,400,L2J,Evelop Airlines,EVELOP,EVE,,,,,2020-06-01,2020-02-24,,RR Trent XWB
781602,B-305X,AIRBUS,A350-941,A359,,L2J,China Eastern Airlines,CHINA EASTERN,CES,,2019-01-29,,,,,,
888123,VN-A890,AIRBUS,A350-941,A359,56,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
43be90,VP-BXA,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
34659a,EC-NMZ,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
780aa3,B-LRC,AIRBUS,A350-941,A359,34,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
e49248,PR-XTB,AIRBUS,A350-941,A359,27,L2J,Latam Brasil,TAM,TAM,,,,,,,,
789246,B-LXN,AIRBUS,A350-1041,A35K,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
a65092,N506DN,AIRBUS,A350-941,A359,175,L2J,Delta Air Lines,DELTA,DAL,,,2027-12-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
885105,HS-THE,AIRBUS,A350-941,A359,111,L2J,Thai Airways,THAI,THA,,,,,,,,
846b6c,JA14XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
780abc,B-LRQ,AIRBUS,A350-941,A359,109,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
a65bb7,N509DN,AIRBUS,A350-941,A359,199,L2J,Delta Air Lines,DELTA,DAL,,,2028-04-30,,2018-01-01,,,ROLLS-ROYC TRENT XWB-84
c8809d,DQ-FAJ,AIRBUS,A350-941,A359,,L2J,Fiji Airways,PACIFIC,FJI,,,,,,,,
06a11d,A7-ANA,AIRBUS,A350-1041,A35K,88,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
781916,B-30EA,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
06a123,A7-ANG,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
89900f,B-18902,AIRBUS,A350-941,A359,57,L2J,China Airlines,DYNASTY,CAL,,,,,,,,
